,Year,Period,Estimate Value,Standard Error
0,2011,Qtr1,1.6,0.1
1,2011,Qtr2,1.7,0.1
2,2011,Qtr3,1.7,0.1
3,2011,Qtr4,1.6,0.2
4,2012,Qtr1,1.9,0.2
5,2012,Qtr2,1.8,0.2
6,2012,Qtr3,1.8,0.2
7,2012,Qtr4,1.7,0.2
8,2013,Qtr1,1.7,0.2
9,2013,Qtr2,1.9,0.1
10,2013,Qtr3,1.8,0.2
11,2013,Qtr4,2.1,0.2
12,2014,Qtr1,1.7,0.1
13,2014,Qtr2,1.9,0.2
14,2014,Qtr3,2.3,0.2
15,2014,Qtr4,2.2,0.2
16,2015,Qtr1,2.8,0.3
17,2015,Qtr2,2.2,0.2
18,2015,Qtr3,2.1,0.2
19,2015,Qtr4,2.1,0.1
20,2016,Qtr1,2.0,0.3
21,2016,Qtr2,2.6,0.2
22,2016,Qtr3,2.4,0.2
23,2016,Qtr4,2.3,0.2
24,2017,Qtr1,2.6,0.2
25,2017,Qtr2,2.4,0.2
26,2017,Qtr3,2.6,0.2
27,2017,Qtr4,2.8,0.1
28,2018,Qtr1,2.9,0.2
29,2018,Qtr2,2.9,0.2
30,2018,Qtr3,3.1,0.2
31,2018,Qtr4,3.1,0.2
32,2019,Qtr1,3.0,0.2
33,2019,Qtr2,3.0,0.2
34,2019,Qtr3,3.0,0.1
35,2019,Qtr4,3.0,0.1
36,2020,Qtr1,3.3,0.2
37,2020,Qtr2,2.9,0.2
38,2020,Qtr3,2.7,0.1
39,2020,Qtr4,2.8,0.1
40,2021,Qtr1,3.0,0.3
41,2021,Qtr2,3.5,0.2
42,2021,Qtr3,4.6,0.3
